RPT Number,Discharge Capacity,Current Cycles,Temperature,Past Cycles,Past Discharge Capacity,Commercial,Residential,Calendar,No Calendar,1C,3C,C/2,C/4,Percent Capacity Decrease,Category,g1,v4,v5,w10,w8,w9
8,4.39601469039917,10,20,413.0,4.40069723129272,False,True,False,True,True,False,False,False,0.1064045229072651,False,False,False,False,False,False,True
9,4.50140428543091,10,35,294.0,4.51680183410645,True,False,False,True,False,True,False,False,0.3408949349797154,True,True,False,False,False,False,False
9,4.48624324798584,10,35,326.0,4.50616502761841,False,True,False,True,False,False,False,True,0.442100533612706,True,False,True,False,False,False,False
9,4.55067205429077,10,35,111.0,4.56740665435791,True,False,False,True,True,False,False,False,0.3663917258423536,True,False,False,True,False,False,False
9,4.36824512481689,10,35,432.0,4.38836145401001,False,True,False,True,False,True,False,False,0.4584018295652861,True,False,False,False,True,False,False
9,4.35371732711792,10,35,429.0,4.36430406570435,True,False,False,True,False,False,True,False,0.2425756415466812,True,False,False,False,False,True,False
9,4.37763786315918,10,35,423.0,4.39601469039917,False,True,False,True,True,False,False,False,0.4180337995713469,True,False,False,False,False,False,True
10,4.49716138839722,10,20,304.0,4.50140428543091,True,False,False,True,False,True,False,False,0.094257186527814,False,True,False,False,False,False,False
10,4.48465394973755,10,20,336.0,4.48624324798584,False,True,False,True,False,False,False,True,0.0354260382337418,False,False,True,False,False,False,False
10,4.54440593719482,10,20,121.0,4.55067205429077,True,False,False,True,True,False,False,False,0.137696520891715,False,False,False,True,False,False,False
10,4.36783599853516,10,20,442.0,4.36824512481689,False,True,False,True,False,True,False,False,0.0093659185792014,False,False,False,False,True,False,False
10,4.34943294525146,10,20,439.0,4.35371732711792,True,False,False,True,False,False,True,False,0.0984074422970335,False,False,False,False,False,True,False
10,4.37618494033813,10,20,433.0,4.37763786315918,False,True,False,True,True,False,False,False,0.0331896531066834,False,False,False,False,False,False,True
11,4.47767972946167,10,35,314.0,4.49716138839722,True,False,True,False,False,True,False,False,0.4331990171803386,True,True,False,False,False,False,False
11,4.4634256362915,10,35,346.0,4.48465394973755,False,True,True,False,False,False,False,True,0.4733545482877599,True,False,True,False,False,False,False
11,4.52159833908081,10,35,131.0,4.54440593719482,True,False,True,False,True,False,False,False,0.5018829397993623,True,False,False,True,False,False,False
11,4.34599351882935,10,35,452.0,4.36783599853516,False,True,True,False,False,True,False,False,0.50007554571955,True,False,False,False,True,False,False
11,4.33067560195923,10,35,449.0,4.34943294525146,True,False,True,False,False,False,True,False,0.4312595119487619,True,False,False,False,False,True,False
11,4.3556547164917,10,35,443.0,4.37618494033813,False,True,True,False,True,False,False,False,0.4691351971254653,True,False,False,False,False,False,True
12,4.47392797470093,10,20,324.0,4.47767972946167,True,False,False,True,False,True,False,False,0.0837879211425998,False,True,False,False,False,False,False
12,4.46362447738647,10,20,356.0,4.4634256362915,False,True,False,True,False,False,False,True,-0.0044548987968582,False,False,True,False,False,False,False
12,4.51613569259644,10,20,141.0,4.52159833908081,True,False,False,True,True,False,False,False,0.1208122896975445,False,False,False,True,False,False,False
12,4.34610319137573,10,20,462.0,4.34599351882935,False,True,False,True,False,True,False,False,-0.002523532212012,False,False,False,False,True,False,False
12,4.32649898529053,10,20,459.0,4.33067560195923,True,False,False,True,False,False,True,False,0.0964426120213379,False,False,False,False,False,True,False
12,4.3548641204834,10,20,453.0,4.3556547164917,False,True,False,True,True,False,False,False,0.0181510257299891,False,False,False,False,False,False,True
13,4.46492147445679,10,35,334.0,4.47392797470093,True,False,True,False,False,True,False,False,0.2013108010470974,False,True,False,False,False,False,False
13,4.45230627059937,10,35,366.0,4.46362447738647,False,True,True,False,False,False,False,True,0.2535653893924226,True,False,True,False,False,False,False
13,4.50642347335815,10,35,151.0,4.51613569259644,True,False,True,False,True,False,False,False,0.2150559659713486,False,False,False,True,False,False,False
13,4.33328199386597,10,35,472.0,4.34610319137573,False,True,True,False,False,True,False,False,0.2950044429502131,True,False,False,False,True,False,False
13,4.31960678100586,10,35,469.0,4.32649898529053,True,False,True,False,False,False,True,False,0.159302112588082,False,False,False,False,False,True,False
13,4.34400033950806,10,35,463.0,4.3548641204834,False,True,True,False,True,False,False,False,0.2494631445385743,True,False,False,False,False,False,True
14,4.45641708374023,10,20,344.0,4.46492147445679,True,False,False,True,False,True,False,False,0.1904712269904925,False,True,False,False,False,False,False
14,4.44763565063477,10,20,376.0,4.45230627059937,False,True,False,True,False,False,False,True,0.1049033844648528,False,False,True,False,False,False,False
14,4.49615955352783,10,20,161.0,4.50642347335815,True,False,False,True,True,False,False,False,0.2277619911000288,True,False,False,True,False,False,False
14,4.32367658615112,10,20,482.0,4.33328199386597,False,True,False,True,False,True,False,False,0.2216658811599849,True,False,False,False,True,False,False
14,4.30902242660522,10,20,479.0,4.31960678100586,True,False,False,True,False,False,True,False,0.2450305071096177,True,False,False,False,False,True,False
14,4.33900499343872,10,20,473.0,4.34400033950806,False,True,False,True,True,False,False,False,0.1149941454633053,False,False,False,False,False,False,True
15,4.45068216323853,10,35,354.0,4.45641708374023,True,False,True,False,False,True,False,False,0.1286890431020167,False,True,False,False,False,False,False
15,4.43637895584106,10,35,386.0,4.44763565063477,False,True,True,False,False,False,False,True,0.2530939060195609,True,False,True,False,False,False,False
